Rank,Name,Class
1,Carlos Alcaraz Garfia,2021
2,Holger Vitus Nodskov Rune,
3,Hamad Medjedovic,2021
4,Giovanni Mpetshi Perricard,2022
5,Shintaro Mochizuki,2021
6,Arthur Fils,2020
7,Luca Nardi,2022
8,Toby Kodat,2021
9,Martin Damm,2022
10,Luca Van Assche,
11,Jerome Kym,2021
12,Aristarkh Safonov,2021
13,Daniel Rincon,
14,Juncheng Shang,2023
15,Jack Pinnington Jones,2023
16,Lui Maxted,2023
17,Maks Kasnikowski,2023
18,Pierre-yves Bailly,2023
19,Bruno Kuzuhara,2023
20,Daniel Merida,2023
21,Marc Othman Ktiri,2023
22,Ethan Quinn,2023
23,Mark Lajal,2023
24,Michael Zheng,2023
25,Abedallah Shelbayh,2023
26,Gabriele Piraino,2023
27,Max Westphal,2023
28,Viacheslav Bielinskyi,2023
29,Max Hans Rehberg,2023
30,Samir Banerjee,2023
31,Kyle Kang,2023
32,Alejandro Manzanera Pertusa,2023
33,Pedro Boscardin Dias,2023
34,Giulio Perego,2023
35,Marko Topo,2023
36,Kalin Ivanovski,2023
37,Leo Borg,2023
38,Aidan Mayo,2023
39,James Mccabe,2023
40,Giorgio Tabacco,2023
41,Mika Brunold,2023
42,Robin Bertrand,2023
43,Aleksander Orlikowski,2023
44,Alvaro Guillen,2023
45,Mili Poljicak,2023
46,Mehdi Sadaoui,2023
47,Henrique Rocha,2023
48,Alexander Bernard,2023
49,Miguel Perez Pena,2023
50,Charlelie Cosnet,2023
51,Nishesh Basavareddy,2023
52,Oscar Pinto Sansano,2023
53,Sebastian Dominko,2023
54,Vilius Gaubas,2023
55,Jack Anthrop,2023
56,Dino Prizmic,2023
57,Ozan Colak,2023
58,Colton Smith,2023
59,Victor Lilov,2023
60,Dali Blanch,2023
61,Richard Gama,2023
62,Matthew William Donald,2023
63,Sebastian Gorzny,2023
64,Edas Butvilas,2023
65,Johan Alexander Rodriguez,2023
66,Francisco Lamas Villarroel,2023
67,Vojtech Petr,2023
68,Bor Artnak,2023
69,German Samofalov,2023
70,Jakub Mensik,2023
71,Daniel Bagnolini,2023
72,Adam Jurajda,2023
73,Pedro Rodenas,2023
74,Liam Gavrielides,2023
75,Adolfo Daniel Vallejo,2023
76,Benjamin Kittay,2023
77,Gonzalo Sebatian Bueno Rodriguez,2023
78,Alexander Blockx,2023
79,Artur Kukasian,2023
80,Derek Pham,2023
81,Constantinos Koshis,2023
82,Miguel Gomes,2023
83,Elmer Moller,2023
84,William Nolan,2023
85,Martyn Pawelski,2023
86,Thibault Verdier,2023
87,Philip Sekulic,2023
88,Alex Michelsen,2023
89,Edward Winter,2023
90,Braden Shick,2023
91,Aidan Kim,2023
92,Gerard Planelles Ripoll,2023
93,Joao Loureiro,2023
94,Luka Mikrut,2023
95,Martin Katz,2023
96,Matias Ponce De Leon,2023
97,Sascha Gueymard Wayenburg,2023
98,Azuma Visaya,2023
99,Nicolas Kotzen,2023
100,Jaden Weekes,2023
101,Nathan Cox,2023
102,Paul Inchauspe,2023
103,Stefan Popovic,2021
104,Spencer Johnson,2021
105,Petr Nesterov,2021
106,Rohan Murali,2023
107,Sean Daryabeigi,2023
108,Daniel Siniakov,2021
109,Casey Hoole,2021
110,Arda Azkara,2021
111,Chirag Duhan,2022
112,Kokoro Isomura,2021
113,Lucas Brown,2023
114,Gerard Campana Lee,
115,Konstantin Zhzhenov,2022
116,Philip Florig,2022
117,Peter Benjamin Privara,
118,Nikolay Nedelchev,2021
119,Nicholas Heng,2023
120,Igor Kudriashov,2022
121,Daniel Sancho Arbizu,2021
122,Mikhail Gorokhov,2022
123,Marko Andrejic,2021
124,Alexander Razeghi,2024
125,Masato Perera,2022
126,Bjorn Swenson,2022
127,Adit Sinha,2021
128,Jayden Templeman,2021
129,Mehdi Benchakroun,2022
130,Vasco Leote Prata,2022
131,Michael Ross,2021
132,Artem Podorozhnyi,2022
133,Daniil Ostapenkov,2021
134,Christopher Li,
135,William Mroz,2021
136,Jonah Braswell,2022
137,Yannik Rahman,2023
138,Petar Jovanovic,2021
139,Maxime St-hilarie,
140,Vignesh Gogineni,2022
141,Orel Kimhi,2022
142,Melchior Delloye,2022
143,Ignacio Buse,2022
144,Ryan Colby,2022
145,Ethan Muza,2021
146,Antoine Ghibaudo,2023
147,Olaf Pieczkowski,2022
148,Jaime Faria,2021
149,Juan Manuel La Serna,
150,Joshua Dous Karpenschif,2020
151,Mika Lipp,2020
152,Caspar Jalili Mikkelsen,2021
153,Petar Teodorovic,2022
154,Noah Merre,2022
155,Aadarsh Tripathi,2022
156,Hugo Hashimoto,2021
157,Landon Ardila,2023
158,Sebastian Sec,2022
159,Top Nidunjianzan,
160,Luca Parenti,2022
161,Emiliano Aguilera Guerrero,
162,Alex Cairo,2023
163,Mariano Tammaro,2022
164,Mikalai Bankou,2023
165,Woobin Shin,2022
166,Elijah Poritzky,2021
167,Daniele Minighini,2022
168,Neo Niedner,2022
169,David Leon Moros,2021
170,Cooper Williams,2024
171,Ron Ellouck,2022
172,Carlos Joaquin Ramos Membrives,
173,Rodrigo Pacheco Mendez,2023
174,Hynek Barton,2022
175,Patrick Brady,2022
176,Lucas Olivier,2021
177,Jean Baptiste Badon,
178,Filip Pieczonka,2022
179,Oliver Tarvet,2022
180,Yannik Kelm,2023
181,Antonio Prat Gil,
182,Hudson Rivera,2023
183,Gilles Arnaud Bailly,
184,Gabriel Debru,2023
185,Gianluca Ballotta,2022
186,Gabriele Datei,
187,Alessio Tramontin,2021
188,Anton Arzhankin,2021
189,Ansh Shah,2021
190,Ondrej Valek,2021
191,Arthur Gea,2018
192,Maximilian Homberg,2021
193,Rohan Sachdev,2021
194,Arthus De La Bassetiere,2021
195,Yunseok Jang,2021
196,Isac Stroemberg,2021
197,Juan Carlos Prado Angelo,
198,Jelani Sarr,2023
199,Lennon Roark Jones,
200,Henrik Bladelius,2022
201,Younes Djouder,2021
