names,actual utr
Rithvik Krishna,12.18
Gabriel Matuszewski,12.18
Gabriele Thomas Brancatelli,12.17
Togan Tokac,12.17
Alexander Visser,12.16
Timothy Phung,12.16
Eduardo Morais,12.16
Adam Duan,12.16
Devin Badenhorst,12.15
Joao Eduardo Schiessl,12.15
Teddy Truwit,12.14
Louis Cloud,12.14
Mattias Southcombe,12.14
Sebastian Eriksson,12.13
Marko Stakusic,12.13
Noah Becker,12.13
Matic Krifnik,12.13
Alejandro Turriziani,12.13
Niccolo Ciavarella,12.13
Idriss Haddouch,12.13
William Cooksey,12.13
Waleed Qadir,12.13
William Ribero,12.13
Lenn Luemkemann,12.12
Måns Dahlberg,12.12
Top Nidunjianzan,12.12
Lawee Sherif,12.12
Alessio Vasquez Gehrke,12.11
Stepan Baum,12.11
Mert Oral,12.11
Rudy Ceccon,12.11
Borys Zgola,12.1
Shin Maksim,12.1
Jamie Connel,12.1
Jackson Armistead,12.1
Yassine Dlimi,12.1
Maxwell Sheldon,12.1
Nicholas Godsick,12.09
Rafael Segado Esteve,12.09
John Walentowicz,12.09
Stefanos Sakellaridis,12.08
Martin Machala,12.08
Zane Ford,12.08
Christophe Clement,12.08
Rudy Quan,12.08
Ritesh Patil,12.07
Victor Tosetto,12.07
Peter Nad,12.06
Maxim Zhukov,12.06
Ilia Simakin,12.06
Vlad Cristian Breazu,12.06
Gabrielius Gužauskas,12.06
Guntinun Sootinun-opart,12.06
Walid Ahouda,12.05
Shay Bar-menahem,12.05
Juan Camilo Pérez Góngora,12.05
Yujiro Onuma,12.05
Jay Friend,12.05
Nicholas Steiglehner,12.04
Luis Felipe Queiroz Miguel,12.04
Alexander Frusina,12.04
Ellis Short V,12.04
Ethan Schiffman,12.03
Arthus De La Bassetiere,12.03
Noa Vukadin,12.03
Mikhail Korkunov,12.03
Alin Fatu,12.03
Stefano D'agostino,12.03
Berk Bugarikj,12.02
Edson Alejandro Sanchez Elizondo,12.02
Luis Carlos Alvarez Valdes,12.02
Martin Antonio Vergara Del Puerto,12.01
Noah Regas,12.01
Birtan Duran,12.01
Alessio Basile,12.01
Alejandro Verdasco Ortiz,12
Corban Crowther,12
Iliyan Radulov,12
Lorenzo Esquici,12
David Fix,12
Federico Bondioli,11.99
Illya Maksymchuk,11.99
Pijus Vaitiekunas,11.99
Bastiaan Weststrate,11.98
Matija Samardzic,11.98
Ruslan Tiukaev,11.98
Seydina Andre,11.98
Alan Bojarski,11.98
Alexander Chang,11.98
Lukas Maskow,11.97
John Kim,11.97
Diogo Morais,11.97
Aleksa Krivokapic,11.97
Rashed Nawaf,11.97
Manfredi Graziani,11.96
Valdemar Frederik Pape,11.96
Martin Mazev,11.96
Martin Landaluce,11.96
Gokberk Saritas,11.96
Stefano Liokossis,11.96
Andrew Chang,11.95
Nicola Filippi,11.95
Maj Premzl,11.94
Grant Lothringer,11.94
Jonathan Irwanto,11.94
Gianluca Citadini,11.94
Nikola Zekic,11.94
Meecah Bigun,11.94
Demin Yaroslav,11.94
Matthew Rutter,11.93
Majun Li,11.93
Vladimir Bazilevskiy,11.93
Santiago Giamichelle,11.93
Karim Ibrahim,11.93
loan Lestir,11.92
Timothy Carlsson Seger,11.92
Filip Mandovic,11.92
Eli Stephenson,11.92
Kian Vakili,11.92
Kacper Szymkowiak,11.92
Dylan Dietrich,11.92
Andrej Nedic,11.92
Arthur O'sullivan,11.92
Diogo Alves,11.92
Ryan Torres,11.91
Kyle Totorica,11.91
Luke Neal,11.91
Liam Oliver,11.91
Pavlos Parson,11.9
